Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Certification-3 TestSuite,Chrome 126.0.0.0,,,20-06-2024 14:50:02,20-06-2024 14:52:57,2m - 54.701s,PASSED
,,,,,,,
Test Cases/1st TC - Copy - Copy (25),Chrome 126.0.0.0,,,20-06-2024 14:50:03,20-06-2024 14:50:18,15.748s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,20-06-2024 14:50:03,20-06-2024 14:50:07,4.422s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,20-06-2024 14:50:07,20-06-2024 14:50:11,3.935s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,20-06-2024 14:50:11,20-06-2024 14:50:12,1.001s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,20-06-2024 14:50:12,20-06-2024 14:50:13,0.970s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,20-06-2024 14:50:13,20-06-2024 14:50:14,0.412s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,20-06-2024 14:50:14,20-06-2024 14:50:15,0.966s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 126.0.0.0,,,20-06-2024 14:50:15,20-06-2024 14:50:15,0.597s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_26""))",Chrome 126.0.0.0,,,20-06-2024 14:50:15,20-06-2024 14:50:16,0.454s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/form_Facility                              _20adf0""))",Chrome 126.0.0.0,,,20-06-2024 14:50:16,20-06-2024 14:50:16,0.560s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 126.0.0.0,,,20-06-2024 14:50:16,20-06-2024 14:50:17,0.315s,PASSED
